FEEDBACK,SELLER NAME,PRODUCT NAME,PRODUCT PRICE
Great communication. A pleasure to do business with. ~adidas_official,adidas_official,null,null
Great communication. A pleasure to do business with. ~adidas_official,adidas_official,null,null
Good buyer- prompt payment- valued customer- highly recommended.~adidas_official,adidas_official,null,null
Good buyer- prompt payment- valued customer- highly recommended.~adidas_official,adidas_official,null,null
Good buyer- prompt payment- valued customer- highly recommended.~adidas_official,adidas_official,null,null
Great communication. A pleasure to do business with. ~adidas_official,adidas_official,null,null
Great communication. A pleasure to do business with. ~adidas_official,adidas_official,null,null
Quick response and fast payment. Perfect! THANKS!! ~adidas_official,adidas_official,null,null
Quick response and fast payment. Perfect! THANKS!! ~adidas_official,adidas_official,null,null
Thank you so much for sharing eBay with us.  PayPal Digital Gifts,paypal_digital_gifts,null,null
Thank you for an easy- pleasant transaction. Excellent buyer. ~adidas_official,adidas_official,null,null
Thank you for an easy- pleasant transaction. Excellent buyer. ~adidas_official,adidas_official,null,null
Quick response and fast payment. Perfect! THANKS!! ~adidas_official,adidas_official,null,null
Good buyer- prompt payment- valued customer- highly recommended.,dirtdevil,null,null
Instant payment. Excellent buyer! Thank you,matchqqqq,null,null
Great item and super fast shipping! Thanks! A+++,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#222383505289),US $109.98
Many thanks from *GALPIN HONDA MISSION HILLS* Excellent Ebayer!!!!!!!!!,galpinhonda,null,null
Had a small issue but seller took care of the problem right away- very pleased!,null,Hoover TwinTank Steam Mop- WH20200 (#271817026002),US $84.98
Perfect!  Thank you!,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#222383505289),US $89.98
Smooth transaction- fast shipping....  A+++,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#222383505289),US $89.98
Fast Shipping- great item- Would buy again- AAAAAAAAAAAAAAAA++++++++++++++,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#222383505289),US $89.98
Thanks for you understanding and cooperation.,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#271420068286),US $89.98
Good buyer! Highly recommended!! +++++,starbellone,null,null
Fast shipping- excellent brand new on collectors bag,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#271420068286),US $89.98
everthing works- fast delivery,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#271420068286),US $89.98
Thank for your purchase and being an awesome eBay member. We love you!,paypal_digital_gifts,null,null
Seller was wonderful to work with. Thank you so much!!,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#271420068286),US $89.98
Hope to deal with you again. Thank you.,cardency,null,null
Thanks so much for shopping with PayPal Digital - You are awesome !,paypal_digital_gifts,null,null
Very good seller!!!,null,Brand new Sony Cyber-shot DSC-TX20 16.2 MP Digital Camera - Pink (#271301617971),US $249.98
Hope to deal with you again. Thank you.,homiegear,null,null
You are an amazing buyer and we look forward to seeing you again on eBay!,paypal_digital_gifts,null,null
Thank you for an easy- pleasant transaction. Excellent buyer. A++++++.,healthylifesupply,null,null
excellent buyer- quick payment,myherbar,null,null
Great communication. A pleasure to do business with!!!! AAAAAA++++++,zedona,null,null
Hope to deal with you again. Thank you.,homiegear,null,null
Thank for your purchase and being an awesome eBay member. We love you!,paypal_digital_gifts,null,null
Great Buyer!,verabradley,null,null
We love you!   Thank you so much for sharing eBay with us.  PayPal Digital,paypal_digital_gifts,null,null
Great communication. A pleasure to do business with.,svmgiftcards,null,null
Love to do biz with again.,shamcy,null,null
Hope to deal with you again. Thank you.,svmgiftcards,null,null
Thank you for an easy- pleasant transaction. Excellent buyer. A++++++.,lifestylebyfocus,null,null
Quick response and fast payment. Perfect! THANKS!!,svmgiftcards,null,null
Quick response and fast payment. Perfect! THANKS!!,ebags,null,null
Quick response and fast payment. Perfect! THANKS!!,svmgiftcards,null,null
5🌟Buyer! We look forward to doing business again in the future- Thank You! 😎,robopimp,null,null
You are the best!  Thank you so much for sharing the eBay experience with us :),paypal_digital_gifts,null,null
Good buyer- prompt payment- valued customer- highly recommended.~hasbro-toy-shop,hasbro-toy-shop,null,null
Good buyer- prompt payment- valued customer- highly recommended.~hasbro-toy-shop,hasbro-toy-shop,null,null
Thanks for buying from Best Buy,best_buy,null,null
Quick response and fast payment. Perfect! THANKS!!,traxtone,null,null
Thank you for shopping at Aeropostale!  Please come again.,aeropostale,null,null
Thank you for shopping at Aeropostale!  Please come again.,aeropostale,null,null
A+A+A+A+A+,null,(Private listing),null
Thank you for shopping with Newegg.,newegg,null,null
Thanks for your order and quick payment!,boxunbox,null,null
SUPERFAST PAYMENT! GREAT EBAYER! HOPE TO DO BUSINESS AGAIN! A+A+A+,threerb,null,null
♥Ӝ̵̨̄Ʒ ♥¸¸.*´VALUED BUYER♥WELCOME BACK 4 DISCOUNT COACH ITEMS♥,the-merchant-of-vega$,null,null
Great ebayer- prompt payment and instant communication- thank you!,rain_blood,null,null
Quick PAY! Thanks.,funkybusarider,null,null
Zoro Tools loves you. Three Thumbs Up!,zorotools,null,null
Good buyer- prompt payment- valued customer- highly recommended.,best_buy,null,null
Thank you for shopping with Newegg.,newegg,null,null
Thank you for you business.,refgoods1,null,null
Happy with the purchase,null,null,null
Thank you for your business!,microsoft,null,null
Great communication- A pleasure to do business with-,proximitystore,null,null
Thank you for an easy- pleasant transaction.  Excellent buyer.,giftcardmall,null,null
Good seller and fast shipping will do business again,null,(Private listing),null
Excelent!!!!,null,null,null
Arrived quickly in excellent condition,null,null,null
Very Good Buyer !!! Thank You!!!!,soundvideo-bay,null,null
the seller not shipping to P.R.- but good comuniction.,null,null,null
Thank you for an easy- pleasant transaction. Excellent buyer. A++++++.,altatac,null,null
Great communication- A pleasure to do business with-,proximitystore,null,null
Everything was perfect.,null,null,null
Very quick shipping!  Thank you!,null,null,null
It went out of stock when i bought it but inmediatly refunded my money,null,null,null
fast a+++,null,null,null
Laptop received. Thanks,null,null,null
Great seller- fast shipping. Thanks,null,null,null
as promised,null,null,null
Perfect! Strongly recommended!,null,null,null
Good deal,null,null,null
Great sell! Shipped out super fast and was well packed!!! *****,null,null,null
The item arrived OK on time. very good seller.,null,null,null
PERFECT!! Arrived 2 days before expected...NICE JOB! Thanks :0),null,null,null
Item as described- delivered on time- RECOMMEND to everyone! Will buy again!,null,null,null
Great communication. A pleasure to do business with.,gogreendirect,null,null
Great communication. A pleasure to do business with.,giftcardmall,null,null
Quick response and fast payment. Perfect! THANKS!!,giftcardmall,null,null
Great thanks,null,null,null
great buyer- happy to deal with you.  will appreciate your + feedback.,mountainxiu,null,null
Works Great,null,null,null
Fast shipping- great seller ,null,null,null
Item received in great condition. No problems. Thanks. Seller AAA+++,null,null,null
Arrived very fast- new- in box. Thank you,null,null,null
Great seller.  Delivered sooner than expected...A+ transaction.,null,null,null
item as described- fast shipping- great ebayer............Thanks...............,null,null,null
Pros:Incredibly fast shipping!!! Con's:He raised the price a few more dollars.,null,null,null
Loved the leap pad SUPER FAST DELIVERY!!!!,null,null,null
wonderful service - would do business with again,null,null,null
Very fast delivery,null,null,null
Brand new quick shipment- Thanks.,null,null,null
good,null,null,null
Very fast shipping!!!! Thanks.,null,null,null
got here so fast! ,null,null,null
ordered on sunday the 12th and got it on thurs the 16th very fast & great tablet,null,null,null
Very fast and great price!,null,null,null
Great seller!,null,null,null
EXCELLENT!!! FAST SHIPPING AND ITEM ABOVE EXPECTATIONS!!! A++++++++,null,null,null
Outstanding!!! Great Pricing!!! Fast Shipping!!!,null,null,null
Great seller!! Great item!!,null,null,null
good,null,null,null
Fast shipment.  !!!!,null,null,null
great product and fast shipping,null,null,null
Thank You!,null,null,null
The item was exactly how the seller described and arrived in the estimated time.,null,null,null
Good transaction,null,null,null
my new best friend,null,null,null
Item shipped as promised and accurately advertised.,null,null,null
Great price Fast shipping,null,null,null
great service,null,null,null
good seller- fast shipping!,null,null,null
good seller- fast shipping!,null,null,null
Thank you for an easy- pleasant transaction. Excellent buyer. A++++++.,enjoyebiz,null,null
LIGHTNING FAST PAYMENT- GREAT CUSTOMER- HIGHLY RECCOMENDED- PLEASUE AAA++++,rsundby37,null,null
Fast shipping- just as described A++++++,null,null,null
Perfect,null,null,null
Excellent Transaction - Great Communication - Fast Shipping - Highly Recommend,null,null,null
good seller- shipped on time,null,null,null
thank you quick shipping!,null,null,null
Thank you for an easy- pleasant transaction. Excellent buyer. A++++++.,barnesandnobleinc,null,null
Great communication. A pleasure to do business with.,sunmall88,null,null
great price- fast delivery- but wrong item (had to return),null,null,null
A+,null,null,null
A+,null,null,null
Great seller! will buy from again in the future!,null,null,null
very fast shipping A+++,null,null,null
excellent service and delivered on time,null,null,null
thank you- love it- hope we can do buisness again soon,null,null,null
awesome transaction,null,null,null
Great buy! Fast shipping! Thanks!,null,(Private listing),null
A+++ Received within 6 days of payment. Highly recommend this seller!,null,null,null
as described,null,null,null
Good Deal Thanks. 5*,null,null,null
Quick response and fast payment. Perfect! THANKS!!,hootoodeals,null,null
Product great!  Timely service,null,null,null
Fast payment....great transaction...thanks!,ladydi7147,null,null
Thank You For Shopping Cargolargo!!  We Appreciate Your Business!!,cargolargo,null,null
Super fast shipping...love the boots! Thanks!,null,null,null
Awesome transaction. Great eBayer. Thanks……..,visualstudio97,null,null
A++++++++++++++++++,null,null,null
excellent transaction- quick ship - would do business again,null,null,null
received as promised,null,null,null
Thank you,null,null,null
Super!,null,null,null
Excellent Seller!!!!!!! Super fast shipping!!!!!! Highly recommend!!!!!,null,null,null
Very good deal- fast shipping.,null,null,null
Great seller.  Price was awesome so I didn't mind paying so much for shipping :),null,null,null
I am impressed with accuracy of the description and the care taken in shipping.,null,null,null
Very fast payment.  Highly recommended.  A+++++,jagrfannj,null,null
Very fast payment.  Highly recommended.  A+++++,jagrfannj,null,null
Very fast payment.  Highly recommended.  A+++++,jagrfannj,null,null
Very fast payment.  Highly recommended.  A+++++,jagrfannj,null,null
Very fast payment.  Highly recommended.  A+++++,jagrfannj,null,null
Very fast payment.  Highly recommended.  A+++++,jagrfannj,null,null
Very fast payment.  Highly recommended.  A+++++,jagrfannj,null,null
Very fast payment.  Highly recommended.  A+++++,jagrfannj,null,null
a pleasure doing business - everything went smoothly,billyg18,null,null
Great seller!!!,null,null,null
Absoutely perfect.,null,null,null
As described- priced right- shipped quick. Thanks!!!,null,null,null
AAA+ Transaction Excellent Communication Fast Shipper THANKS!!!,null,null,null
not a great experience.,null,null,null
Hmmm.. okay but they seem to be resold from returns,null,null,null
Hmmm.. okay but they seem to be resold from returns,null,null,null
Great communication. A pleasure to do business with.,buy,null,null
fast shipping,null,null,null
Great item well descriped.,null,null,null
Shipping a little slower than expected but I would buy from again!,null,null,null
good job!,null,null,null
Outstanding transaction!!! Item works perfectly!!! Received 4/19/10- Thank you!!,null,null,null
great transaction hope to work with again,null,null,null
Printer works great!,null,null,null
just as seller described- if not BETTER! fast shipping!! A++,null,null,null
Great item- fast shipping. Thanks,null,null,null
thanks!,null,null,null
Great communication and fast shipping. A+ Ebayer.,null,null,null
Fast delivery- just as described.,null,null,null
Very fast shipping .What I wanted.....,null,null,null
very willing to work with A+++++++++++++++++++,null,null,null
As ADVERTIZED,null,null,null
A+,suzyqueue11210,null,null
A++++++++++++++,null,null,null
Great Item Thanks.,null,null,null
quick shipper- item as described - great transaction,null,null,null
Awesome eBayer!!! Super Fast Payment!!!,escf916,null,null
great buy fast shipping,null,null,null
THANK YOU.,null,null,null
Excellent seller. Thank you.,null,null,null
Great transaction- thank you.,null,null,null
great ebayer easy to work with thank you very much,null,null,null
a++++++++++++all the way! much pleased thanks a bunch,null,null,null
Got the item fast.. Very happy,null,null,null
Very fast delivery...very happy with my purchase...i look forward to other items,null,null,null
Great sneakers!! Super fast shipping! Thank you!!,null,null,null
very fast shipping,null,null,null
The product was as described and was quick to ship the product!,null,null,null
Just as described.  Son is happy with his purchase.  Fast shipping. Thank you.,null,null,null
Met all expectations.  Thank you.,null,null,null
thank you for a wonderful- hassle free transaction,null,null,null
Very professional Ebayer.,null,null,null
Item as described.  Great transaction!,null,null,null
Item as described- would buy from again- A++,null,null,null
very fast ship-Item perfect-very good seller- Will buy from again AAAAA+++++++++,null,null,null
Camera Received as Described in Ecellent Condition- Hope to Buy Again & Again.,null,null,null
GREAT ITEM TY,null,(Private listing),null
great ebayer- very fast shipping. thank you,null,null,null
Unbelievably fast delivery!  Wonderful! Love it!!!,null,null,null
Item as described.,null,null,null
Very Happy kids at Chrismtas due to this item.,null,null,null
Received item before Christmas- as promised! Thank you.,null,null,null
Excellent seller.  Fast shipping.  Smooth transaction,null,null,null
Hope to deal with you again. Thank you.,buy,null,null
Great communication. A pleasure to do business with.,59049079@deleted,null,null
Fast shipment and exactly as described,null,null,null
Thanks again AAA+++,null,null,null
Nice product- quick shipment,null,null,null
Great Transaction  Thanks,null,null,null
Great Ebayer,null,null,null
Great tranaction!,null,null,null
:-),null,null,null
thanks for quick shipment,null,null,null
Very satisfied,null,null,null
My boys will be so happy on x-mas day,null,null,null
AWESOME CAMERA!!!,null,null,null
Item recieved. Good delivery,null,null,null
Thanks!  My daughter will be pleased,null,null,null
fast shipping,null,null,null
Fast shipping- good deal!!!,null,null,null
SIMPLY THE BEST TRANSACTION I HAVE EVER HAD ON E-BAY A+++SELLER IS FANTASTIC,null,null,null
Rec'd in good shape,null,null,null
Rec'd in good shape,null,null,null
Very fast shipping and response. Great transaction.,null,null,null
fast transaction,null,null,null
Fast ship- my neice will be thrilled!!,null,null,null
Arrived quickly and in perfect shape. thanks,null,null,null
quick shipping!  thanks for being a super seller!,null,null,null
Reasonable seller!,null,null,null
A+++++++++,null,null,null
cant wait to try it,null,null,null
super fast shipping A+ seller... item condition wont be known until xmas,null,null,null
A+ SELLLER. Great communication!!,null,null,null
fastest delivery ever-great seller,null,null,null
fast shipping- product as described - thank you,null,null,null
very fast shipping! Thanks.,null,null,null
Item arrived quickly and as described; would buy again; great seller!!!!!,null,null,null
Excellent seller- Highly Recommended!!!,null,null,null
fast shipping,null,null,null
Fast shipping- product great,null,null,null
lighting fast shipping  AAAA+++++  ebayer!,null,null,null
fast shipping- good ebayer,null,null,null
Smooth transaction.  Item as pictured.  Fast shipping.  Highly recommend.  A++++,null,null,null
:),null,null,null
A++,null,null,null
Thanks,null,null,null
Great communication. A pleasure to do business with.,beachcamera,null,null
Item as described- fast shipment- good seller,null,null,null
Superfast Delivery- Thanks So Much,null,null,null
A+ Seller,null,null,null
Thanks A+,null,null,null
beware this seller! these shoes are fakes-NOT nikes OR leather as stated!ripoff!,null,null,null
Fast shipping!! Thanks!!,null,null,null
item as described.....super fast shipping!!!!,null,null,null
Thank you soo much.  Speedy delivery and transaction!!!,null,null,null
Fast shipping item as described,null,null,null
Great Deal great little computer as listed,null,null,null
great deal,null,null,null
Great shoes- fast delivery~thanks!,null,null,null
Thank you for the Zhu Zhu hamster fun house and the quick delivery.,null,null,null
Received 11/14/09 as described,null,null,null
shoes as new as described- immediate shipment- don't worry - buy happy!,null,null,null
Thank you for a magical transaction and for being a Disney Outlet on eBay Guest!,15726074@deleted,null,null
Super fast shipment!  Perfect transaction!  Thanks!,null,null,null
nice shoes,null,null,null
fit great. fast shipping,null,null,null
very fast shipper,null,null,null
fast shipment thank you exactly as advertised!!!,null,null,null
Item as described- fast shipping- Thanks,null,null,null
great price,null,null,null
Very fast shipping to Hawaii. Quick response. Very Happy!,null,null,null
nice description,null,null,null
fast shipping- great shoes!,null,null,null
fast shipping- love it- thanks,null,null,null
I love these shoes!  Thanks- Fast shipment- great item great seller!,null,null,null
A+,null,null,null
Good e-bayer A++++ Rock on Big Baby !!!,null,null,null
great product. fast shipping. Very Cute  Thank you,null,null,null
we love them,null,null,null
Great transaction.....,null,null,null
My first shop vac. Great!!!!!!!!!!!!!!!!!!,null,null,null
great item super fast shipping A++++++++++,null,null,null
great thanks!,null,null,null
Shoes were as descibed-and shipping was FAST,null,null,null
great product- fast shipping.  Thanks!,null,null,null
good deal,null,null,null
Super fast shipping,null,null,null
Great deal- accurate description- fast shipping!,null,null,null
Received NOKIA N97 Smartphone in great condition. Excellent transaction. A+++++,null,null,null
Great Pricing...Thank You!!!,null,null,null
Lightning shipping- great buy- thanks,null,null,null
Great Seller- Fast shipment !!,null,null,null
Excellent transaction prompt shipping  Thanks,null,null,null
Fast Shipping great device Thank you,null,null,null
better than what i was expected. extremely happy.,null,null,null
fast shipment thanks,null,null,null
Wonderful seller- just as ordered- thanks!,null,(Private listing),null
FANTASTIC E- BAYER WILL BUY FROM AGAIN,null,null,null
The sneakers are perfect. Thanks for the quick delivery.,null,null,null
SUPERFAST PAYMENT! GREAT EBAYER! HOPE TO DO BUSINESS AGAIN! A+A+A+,threerb,null,null
received quickly and as described,null,null,null
Arrived quickly.Great EBAYER!!!,null,null,null
nice shoes!,null,null,null
Awesome product person using it is VERY inpressed- may order another.,null,null,null
Great eBayer- Item as Described- Fast Shipping- Would Deal with Again- A++++++++,null,null,null
Fast shipment and very comfortable. A+ seller!,null,null,null
very good seller and very quick,null,null,null
Very pleased with accurate description and shipping.,null,null,null
Arrive quickly...smooth transactions...outstanding seller1,null,null,null
Thanks,null,null,null
Very cooperative.  Thanks.,null,null,null
Great shoe. Happy- happy - joy- joy!,null,null,null
item arrived as advertised. Fast delivery.,null,null,null
Flawless transaction! FAST Shipping! Great Ebayer!,null,null,null
fast shipping,null,null,null
Great ebayer and product!,null,null,null
v good,null,null,null
thank you!,null,null,null
Thrilled! Thank you for an absolutely perfect transaction. Can't wait to listen!,null,null,null
Fast Shipment!!! Good Ebayer!!! hope to do business again!! Highly Recomended!!,null,null,null
Received shoes quickly & in good condition! Highly recommended!,null,null,null
thanks for so fast shipping++++++++++++++++++++++=,null,null,null
Great seller! Excellent communication- super fast shipping- pleasure 2 deal with,null,null,null
Prompt email reply and extremely fast payment.  The Best! Thanks!! A++
,tigerdirect,null,null
Fast Shipping!  Great Seller,null,null,null
Hope to deal with you again. Thank you.,buy,null,null
Excellent seller- very fast shipping- item as described- my son is very pleased!,null,null,null
Extremely fast shipping!! Thank you so much,null,null,null
Speedy delivery!  Great shoe.  Thanks.,null,null,null
A+ Smooth transaction- super fast delivery- very happy,null,null,null
excellent quality... fast shipping,null,null,null
Item arrived very quickly and in excellent condition.,null,null,null
AWSOME TRANSACTION!!!!,null,null,null
came as described!!!!,null,null,null
Quick shipping- item as described- great transaction. Thank you.,null,null,null
Thank you for the prompt shipping.,null,null,null
fast ship- well packed-   great working processor-  A+  thank you,null,null,null
nice doing business with you,null,null,null
excellent seller item received as described,null,null,null
As promised,null,null,null
Super A fast shipping- product is flawless will deal with in the future.,null,null,null
Great Seller- thanks!,null,null,null
all good very fast shipping- great seller!!!!,null,null,null
Awesome seller. Fast communication- understanding- would put my life in his hand,null,null,null
as advertised- fast shipping,null,null,null
GREAT SELLER! THANK YOU !FAST SHIPPING!,null,null,null
Very fast shipping! Exactly what we wanted...,null,null,null
Fast shipment- very satisfied.,null,null,null
Thanks- good and nice boots thanks again,null,null,null
Great deal- good transaction!,null,null,null
great service,null,null,null
perfect,null,null,null
great price- fast ship- great product and service,null,null,null
Fast shipping- great quality item.  Very satisfied.,null,null,null
super fast payment. thanks much,rissa522,null,null
Fast shipping! Very pleased with the transaction!A++++,null,null,null
Very fast Shipping ( 1 week USA-Canada)- item in great condition thanks !,null,null,null
Excellent Seller,null,null,null
Bon vendeur! merci,null,null,null
Awesome Seller- Super Quick Shipping- AAA+...!,null,null,null
Excelent service!!  thanks,null,null,null
This is a buyer beware seller. I had to warranty the drive through seagate.,null,null,null
Great seller- Fast shipping- A+++,null,null,null
Very quick shipping.  Exactly as described.  Very pleased. Would buy again.,null,null,null
Great eBayer. Welcome back to our store for more of our products!,importhome_llc,null,null
Great seller! Item exactly as described and quick shipment. Thank you.,null,null,null
Thanks!!!!,null,null,null
A++++++++++++++++++++++++++++++++++++++++++,null,null,null
Perfect- fast ship- thanks,null,null,null
Watch was just as described.  Super fast shipping and great price.  Thanks!!!,null,null,null
Fats Shipping!! Great Product!!,null,null,null
Loved it,null,null,null
thanks. the watch is Very beautiful .,null,null,null
Nice doing business with you,null,null,null
recieved item fast and great product thank you,null,null,null
GREAT SELLER perfect items fast shipper wondeful THANKS a lot FAST EMAILS a+a+a+,null,null,null
Would buy here again,null,null,null
VERY FAST SHIPPING- THANKS,null,null,null
Great shoe. Wears well. excellent transaction..will buy again,null,null,null
GREAT PRICE- GREAT PRODUCT-  FAST SHIPPING,null,null,null
awsome shoes i love them also an awsome-honest seller.,null,null,null
very fastly!!!!,null,null,null
FANTASTIC!!! I even screwed up my order and littlekitty0103 fixed it for me..A++,null,null,null
A,null,null,null
Great Buyer +++++++++++++++,nildadavis66,null,null
Arrived within a couple of days,null,null,null
Nice,null,null,null
great tiem fast ship thanks WII with games- great email,null,null,null
~tyvm~ very nice~Have a nice day!~,null,null,null
Great watch with even better service,null,null,null
easy to work with. A++++++++++++,null,null,null
QUICK QUICK QUICK  My kids loved their christmas present.  Thanks!!!!!,null,null,null
Great Seller! Great Item!!! Highly Recommended!!!!! A+++,null,null,null
A+++++++++- GREAT PRODUCT- GREAT SERVICE- A++++++++++++++++++,null,null,null
VERY VERY VERY COOL WATCH***EVEN BETTER IN PERSON**VERY FAST & ADEQUATE SHIPPING,null,null,null
Great,null,null,null
Great deal- great seller!,null,null,null
Thanks!!! Have A Very Satisfied Kid- Very Happy For Her Gift.,null,null,null
Quick shipping A+,null,null,null
Quick Ship- Great Seller,null,null,null
great,null,null,null
good transaction and quick shipping,null,null,null
Thank you much was shipped very fast.,null,null,null
Thank you and happy holidays..,null,null,null
great game  fast shipper thanks,null,null,null
Great seller- received with good timing,null,null,null
Transaction was very smooth.  Very pleased.,null,null,null
Received item promptly and was as described.  Thanks!,null,null,null
WOW!!! lightning fast shipping and in perfect condition. Thanks!!!,null,null,null
I received everything that I bought and in a timely fashion,null,null,null
Item as pictured and described- fast shipping- easy transaction.  Thank you!!!!,null,null,null
free shipping,null,null,null
great seller and quick delivery,null,null,null
Super Fast Shipping!! Excellent to work with!! A+++++,null,null,null
Awesome seller- great product- Thank you!,null,null,null
AAA  thanks,null,null,null
great....thanks!,null,null,null
good transaction,null,null,null
this was in all a REALLY great transaction! HIGHLY RECOMMENDED,null,null,null
seller offered choice of BONUS item in listing- but then did not want to give it,null,null,null
SUPER EASY SUPER FAST... THANK YOU SO MUCH!!!,null,null,null
fast shipping hope it is good it is for christmas. thanks alot,null,null,null
Fast delivery.  Hopeful everything is o.k. but won't know until Christmas. lol,null,null,null
Just as advertised.  Excellent value.  Many thanks.,null,null,null
Fast Shipping!!! Product exactly as advertised.,null,null,null
shoes came when promised,null,null,null
Great Transaction....quick shipment!  Nice to work with!,null,null,null
haven't checked out item- good communication- as described-fast shipping.,null,null,null
This was a great transaction thanks,null,null,null
Great transaction I had the product within 2 days,null,null,null
Super fast shipping.  This transaction was perfect from beginning to end.,null,null,null
Great communication. Quick ship as promised.,null,null,null
Good transaction- wish there was a bit more post sale communication re shipping,null,null,null
seller is very nice to work with,null,null,null
great sevice,null,null,null
Easy transaction!  Fast delivery!,null,null,null
seller had description of additional control and numchuk which did not receive,null,null,null
quick shipper A++++,null,null,null
very fast & as promised,null,null,null
Item exactly as described...thank you- thank you- A+++,null,null,null
EXCELLENT SELLER!! EXTREMELY FAST SHIPPER! EXTREMELY SATISFIED,null,null,null
very quick shipment- item arrived well packed and perect condition as advertised,null,null,null
Great to deal with quick- accurate and easy.,null,null,null
great shipping VERY GOOD  A/,null,null,null
Item shipped quickly.  Great ebay seller!,null,null,null
Great seller- Fast Shipping A+++++++++++++++,null,null,null
great shape fast shipping,null,null,null
great seller.  Item shipped super fast- arrived just as promised.,null,null,null
In Time for under the x-mas tree...Thanks!,null,null,null
Quick shipment- item as described,null,null,null
Wow- extra fast shipping- received item 2 days after ordering- A+++++++++ seller,null,null,null
prompt delivery by seller,null,null,null
Thank You- very smooth transaction! Very quick delivery!!,null,null,null
great,null,null,null
perfect thanks,null,null,null
It was fast Del.,null,null,null
came brand new COOL BEANS!!! thank for the great job,null,null,null
